Classification,avg_total_pnl,avg_win_rate,avg_trades,samples
Fear,209372.6622054375,0.4158784540695092,4183.46875,32
Greed,99675.5167305,0.37407443523093875,1134.03125,32
Extreme Greed,35393.0983548,0.3366088629719345,1392.4,5
Neutral,19842.79725975,0.26068321950310835,892.625,8
